暴力
不法
不法組織
恐怖
恐怖活動
違反
強迫
空汙
高碳排
氣爆
廢棄物
火災
水汙染
漏油
童工
勞動
歧視
差別待遇
過勞
過勞致死
重病
職災
霸凌
職業安全
剝削勞工
涉案
違規
撤照
重刑
撤銷
裁罰
詐欺
行賄
收賄
貪污
瀆職
判決
起訴
貪腐
背信
財報不實
內線交易
操縱股價
非常規交易
掏空
假交易
侵占
回扣
判刑
武器
槍枝
色情
菸草
油砂
廢水
汙染
污染
